地区コード,線区コード,駅順コード,会社名,線区名,駅名,備考
#1,,,東武鉄道,東上本,みなみ寄居,
0,29,20,東日本旅客鉄道,武蔵野,越谷レイクタウン,
0,29,22,東日本旅客鉄道,武蔵野,吉川美南,
0,2a,c4,北海道旅客鉄道,室蘭本,礼文,
0,2a,d,東日本旅客鉄道,横須賀,武蔵小杉,
0,40,1,天竜浜名湖鉄道,天竜浜名湖,掛川,
0,40,1b,天竜浜名湖鉄道,天竜浜名湖,西鹿島,
0,5,3b,東日本旅客鉄道,常磐,十王,
0,53,1a,東日本旅客鉄道,小海,滑津,
0,58,4f,九州旅客鉄道,長崎本,バルーンさが,
0,62,54,九州旅客鉄道,久大本,日田,
0,6d,5,西日本旅客鉄道,湖西,大津京,
0,6d,9,西日本旅客鉄道,湖西,おごと温泉,
0,7,28,九州旅客鉄道,日豊本,宇佐,
0,a,a1,西日本旅客鉄道,山陽本,小野田,
1,82,a,名古屋市交通局,名港,名古屋港,
1,a9,10,名古屋鉄道,三河,竹村,
1,a9,12,名古屋鉄道,三河,土橋,
1,a9,14,名古屋鉄道,三河,上拳母,
1,a9,16,名古屋鉄道,三河,豊田市,
1,a9,18,名古屋鉄道,三河,梅坪,
1,a9,1e,名古屋鉄道,三河,猿投,
1,a9,a,名古屋鉄道,三河,三河知立,
1,a9,c,名古屋鉄道,三河,三河八橋,
1,a9,e,名古屋鉄道,三河,若林,
1,af,12,名古屋鉄道,知多新,内海,
1,af,8,名古屋鉄道,知多新,富貴,
1,af,a,名古屋鉄道,知多新,上野間,
1,af,b,名古屋鉄道,知多新,美浜緑苑,
1,af,e,名古屋鉄道,知多新,野間,
1,b2,a,名古屋鉄道,尾西,西一宮,
1,b2,c,名古屋鉄道,尾西,開明,
1,b2,e,名古屋鉄道,尾西,奥町,
1,b5,e,名古屋鉄道,犬山,上小田井,
1,b6,10,名古屋鉄道,広見,可児川,
1,b6,12,名古屋鉄道,広見,日本ライン今渡,
1,b6,14,名古屋鉄道,広見,新可児,
1,b6,16,名古屋鉄道,広見,学校前,
1,b6,18,名古屋鉄道,広見,明智,
1,b6,8,名古屋鉄道,広見,犬山,
1,b6,a,名古屋鉄道,広見,富岡前,
1,b6,c,名古屋鉄道,広見,善師野,
1,b6,e,名古屋鉄道,広見,西可児,
1,b8,10,名古屋鉄道,小牧,味岡,
1,b8,8,名古屋鉄道,小牧,犬山,
1,b8,e,名古屋鉄道,小牧,田県神社前,
1,b9,10,名古屋鉄道,各務原,手力,
1,b9,12,名古屋鉄道,各務原,高田橋,
1,b9,14,名古屋鉄道,各務原,新加納,
1,b9,16,名古屋鉄道,各務原,新那加,
1,b9,c,名古屋鉄道,各務原,細畑,
1,b9,e,名古屋鉄道,各務原,切通,
1,ba,12,名古屋鉄道,瀬戸,清水,
1,ba,14,名古屋鉄道,瀬戸,尼ケ坂,
1,ba,16,名古屋鉄道,瀬戸,森下,
1,ba,1e,名古屋鉄道,瀬戸,瓢箪山,
1,ba,22,名古屋鉄道,瀬戸,喜多山,
1,ba,24,名古屋鉄道,瀬戸,大森・金城学院前,
1,ba,26,名古屋鉄道,瀬戸,旭前,
1,ba,2a,名古屋鉄道,瀬戸,三郷,
1,ba,2e,名古屋鉄道,瀬戸,新瀬戸,
1,ba,30,名古屋鉄道,瀬戸,瀬戸市役所前,
1,ba,a,名古屋鉄道,瀬戸,栄町,
1,ba,e,名古屋鉄道,瀬戸,東大手,
1,d5,1,静岡鉄道,静岡清水,新静岡,
1,d5,10,静岡鉄道,静岡清水,県立美術館前,
1,d5,11,静岡鉄道,静岡清水,草薙,
1,d5,15,静岡鉄道,静岡清水,御門台,
1,d5,17,静岡鉄道,静岡清水,狐ケ崎,
1,d5,19,静岡鉄道,静岡清水,桜橋,
1,d5,1b,静岡鉄道,静岡清水,入江岡,
1,d5,1d,静岡鉄道,静岡清水,新清水,
1,d5,3,静岡鉄道,静岡清水,日吉町,
1,d5,7,静岡鉄道,静岡清水,春日町,
1,d5,9,静岡鉄道,静岡清水,柚木,
1,d5,b,静岡鉄道,静岡清水,長沼,
1,d5,d,静岡鉄道,静岡清水,古庄,
1,d5,f,静岡鉄道,静岡清水,県総合運動場,
2,9d,22,阪急電鉄,神戸本,神戸三宮,
2,9e,1f,阪急電鉄,宝塚本,中山観音,
2,9e,b,阪急電鉄,宝塚本,服部天神,
2,a5,31,阪急電鉄,嵐山,松尾大社,
2,c2,15,水間鉄道,水間,水間観音,
2,da,a2,山陽電気鉄道,網干,山陽天満,
2,e9,1b,近畿日本鉄道,京都,山田川,
3,d7,7c,西日本鉄道,天神大牟田,紫,
