地区コード,線区コード,駅順コード,会社名,線区名,駅名,備考,緯度,経度
0,0,0,試験,試験,端末試験用 V1,,0,0
0,0,1,試験,試験,端末試験用 V2,,0,0
0,0,2,試験,試験,端末試験用 V2-01,,0,0
0,0,3,試験,試験,端末試験用 V2-02,,0,0
0,0,4,試験,試験,端末試験用 V3-01-1,,0,0
0,0,5,試験,試験,端末試験用 V3-01-2,,0,0
0,0,6,試験,試験,端末試験用 V4-01,,0,0
0,0,7,試験,試験,端末試験用 V4-01-A,,0,0
0,1,1,東日本旅客鉄道,東海道本,東京,,35.67772222,139.7705278
0,1,2,東日本旅客鉄道,東海道本,有楽町,,35.67166667,139.7663056
0,1,3,東日本旅客鉄道,東海道本,新橋,,35.66311111,139.7613611
0,1,4,東日本旅客鉄道,東海道本,浜松町,,35.65247222,139.7604444
0,1,5,東日本旅客鉄道,東海道本,田町,,35.6425,139.7509167
0,1,6,東日本旅客鉄道,東海道本,高輪ゲートウェイ,,0,0
0,1,7,東日本旅客鉄道,東海道本,品川,,35.62586111,139.7421389
0,1,8,東日本旅客鉄道,東海道本,大井町,,35.60375,139.7382778
0,1,9,東日本旅客鉄道,東海道本,大森,,35.58569444,139.7313889
0,1,b,東日本旅客鉄道,東海道本,蒲田,,35.55922222,139.7191944
0,1,d,東日本旅客鉄道,東海道本,川崎,,35.52811111,139.7001667
0,1,e,東日本旅客鉄道,東海道本,鶴見,,35.50558333,139.6795
0,1,10,東日本旅客鉄道,東海道本,新子安,,35.48355556,139.6571667
0,1,11,東日本旅客鉄道,東海道本,東神奈川,,35.47461111,139.6364444
0,1,12,東日本旅客鉄道,東海道本,横浜,,35.46280556,139.6258056
0,1,14,東日本旅客鉄道,東海道本,保土ヶ谷,,35.44405556,139.6036111
0,1,15,東日本旅客鉄道,東海道本,東戸塚,,35.42708333,139.5598056
0,1,16,東日本旅客鉄道,東海道本,戸塚,,35.39725,139.5373333
0,1,18,東日本旅客鉄道,東海道本,大船,,35.35080556,139.5343611
0,1,19,東日本旅客鉄道,東海道本,藤沢,,35.33541667,139.4902778
0,1,1a,東日本旅客鉄道,東海道本,辻堂,,35.33355556,139.4493056
0,1,1b,東日本旅客鉄道,東海道本,茅ヶ崎,,35.32716667,139.4104722
0,1,1d,東日本旅客鉄道,東海道本,平塚,,35.32411111,139.3523611
0,1,1e,東日本旅客鉄道,東海道本,大磯,,35.30819444,139.3166389
0,1,20,東日本旅客鉄道,東海道本,二宮,,35.29522222,139.2598333
0,1,21,東日本旅客鉄道,東海道本,国府津,,35.27813889,139.2181389
0,1,22,東日本旅客鉄道,東海道本,鴨宮,,35.27244444,139.18325
0,1,23,東日本旅客鉄道,東海道本,小田原,,35.253,139.1586111
0,1,25,東日本旅客鉄道,東海道本,早川,,35.23541667,139.1481389
0,1,26,東日本旅客鉄道,東海道本,根府川,,35.19941667,139.1418611
0,1,28,東日本旅客鉄道,東海道本,真鶴,,35.15361111,139.1354167
0,1,29,東日本旅客鉄道,東海道本,湯河原,,35.14294444,139.1052778
0,1,2b,東日本旅客鉄道,東海道本,熱海,,0,0
0,1,33,東海旅客鉄道,東海道本,函南,,0,0
0,1,35,東海旅客鉄道,東海道本,三島,,0,0
0,1,37,東海旅客鉄道,東海道本,沼津,,0,0
0,1,3b,東海旅客鉄道,東海道本,東田子の浦,,0,0
0,1,3e,東海旅客鉄道,東海道本,富士,,0,0
0,1,47,東海旅客鉄道,東海道本,清水,,0,0
0,1,4c,東海旅客鉄道,東海道本,静岡,,0,0
0,1,51,東海旅客鉄道,東海道本,焼津,,0,0
0,1,52,東海旅客鉄道,東海道本,西焼津,,0,0
0,1,53,東海旅客鉄道,東海道本,藤枝,,0,0
0,1,5a,東海旅客鉄道,東海道本,菊川,,0,0
0,1,5c,東海旅客鉄道,東海道本,掛川,,0,0
0,1,5d,東海旅客鉄道,東海道本,愛野,,0,0
0,1,5e,東海旅客鉄道,東海道本,袋井,,0,0
0,1,60,東海旅客鉄道,東海道本,磐田,,0,0
0,1,61,東海旅客鉄道,東海道本,豊田町,,0,0
0,1,62,東海旅客鉄道,東海道本,天竜川,,0,0
0,1,64,東海旅客鉄道,東海道本,浜松,,0,0
0,1,66,東海旅客鉄道,東海道本,高塚,,0,0
0,1,68,東海旅客鉄道,東海道本,舞阪,,0,0
0,1,69,東海旅客鉄道,東海道本,弁天島,,0,0
0,1,6a,東海旅客鉄道,東海道本,新居町,,0,0
0,1,6d,東海旅客鉄道,東海道本,新所原,,0,0
0,1,6e,東海旅客鉄道,東海道本,二川,,0,0
0,1,70,東海旅客鉄道,東海道本,豊橋,,0,0
0,1,72,東海旅客鉄道,東海道本,西小坂井,,0,0
0,1,73,東海旅客鉄道,東海道本,愛知御津,,0,0
0,1,74,東海旅客鉄道,東海道本,三河大塚,,0,0
0,1,75,東海旅客鉄道,東海道本,三河三谷,,0,0
0,1,76,東海旅客鉄道,東海道本,蒲郡,,0,0
0,1,77,東海旅客鉄道,東海道本,三河塩津,,0,0
0,1,78,東海旅客鉄道,東海道本,三ヶ根,,0,0
0,1,79,東海旅客鉄道,東海道本,幸田,,0,0
0,1,7c,東海旅客鉄道,東海道本,岡崎,,0,0
0,1,7d,東海旅客鉄道,東海道本,西岡崎,,0,0
0,1,7e,東海旅客鉄道,東海道本,安城,,0,0
0,1,7f,東海旅客鉄道,東海道本,三河安城,,0,0
0,1,80,東海旅客鉄道,東海道本,東刈谷,,0,0
0,1,81,東海旅客鉄道,東海道本,野田新町,,0,0
0,1,82,東海旅客鉄道,東海道本,刈谷,,0,0
0,1,83,東海旅客鉄道,東海道本,逢妻,,0,0
0,1,84,東海旅客鉄道,東海道本,大府,,0,0
